,flourishing_scale_raw_class_post,flourishing_scale_raw_post,panas_neg_raw_class_post,panas_neg_raw_post,panas_pos_raw_class_post,panas_pos_raw_post,panas_pos_imp_class_post,panas_pos_imp_post
indoor_time_wk_10,0.0,0.0,0.0,0.0,2.2758109600219808e-06,0.0,6.9008484307406056e-06,0.0
indoor_dist_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_2,0.0,0.0,0.0,-0.013709840282925614,0.0,0.0,0.0,0.0
indoor_dist_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
indoor_dist_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_4,0.0,0.0,0.9179315601371867,0.0,0.44327954158881,0.0,0.4678241721262301,0.0
outdoors_dist_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outdoors_dist_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
altitude_mean_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
